# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Recording (a.u.)"
0.000000000E0,-1.724243164E-2
2.083333333E-5,-1.086425781E-2
4.166666667E-5,-7.873535156E-3
6.250000000E-5,-4.150390625E-3
8.333333333E-5,-3.021240234E-3
1.041666667E-4,6.103515625E-5
1.250000000E-4,1.403808594E-3
1.458333333E-4,1.983642578E-3
1.666666667E-4,5.035400391E-3
1.875000000E-4,7.507324219E-3
2.083333333E-4,7.812500000E-3
2.291666667E-4,1.010131836E-2
2.500000000E-4,1.116943359E-2
2.708333333E-4,1.312255859E-2
2.916666667E-4,1.577758789E-2
3.125000000E-4,2.026367188E-2
3.333333333E-4,2.163696289E-2
3.541666667E-4,2.774047852E-2
3.750000000E-4,3.109741211E-2
3.958333333E-4,3.616333008E-2
4.166666667E-4,4.019165039E-2
4.375000000E-4,4.351806641E-2
4.583333333E-4,4.620361328E-2
4.791666667E-4,4.724121094E-2
5.000000000E-4,4.922485352E-2
5.208333333E-4,4.852294922E-2
5.416666667E-4,5.072021484E-2
5.625000000E-4,4.986572266E-2
5.833333333E-4,4.928588867E-2
6.041666667E-4,4.953002930E-2
6.250000000E-4,4.949951172E-2
6.458333333E-4,4.925537109E-2
6.666666667E-4,5.035400391E-2
6.875000000E-4,5.154418945E-2
7.083333333E-4,5.249023438E-2
7.291666667E-4,5.560302734E-2
7.500000000E-4,5.709838867E-2
7.708333333E-4,5.758666992E-2
7.916666667E-4,6.057739258E-2
8.125000000E-4,6.057739258E-2
8.333333333E-4,6.054687500E-2
8.541666667E-4,6.204223633E-2
8.750000000E-4,6.195068359E-2
8.958333333E-4,6.069946289E-2
9.166666667E-4,6.118774414E-2
9.375000000E-4,5.908203125E-2
9.583333333E-4,5.743408203E-2
9.791666667E-4,5.651855469E-2
1.000000000E-3,5.407714844E-2
1.020833333E-3,5.197143555E-2
1.041666667E-3,5.014038086E-2
1.062500000E-3,4.840087891E-2
1.083333333E-3,4.650878906E-2
1.104166667E-3,4.556274414E-2
1.125000000E-3,4.391479492E-2
1.145833333E-3,4.425048828E-2
1.166666667E-3,4.510498047E-2
1.187500000E-3,4.586791992E-2
1.208333333E-3,4.531860352E-2
1.229166667E-3,4.495239258E-2
1.250000000E-3,4.180908203E-2
1.270833333E-3,4.040527344E-2
1.291666667E-3,3.738403320E-2
1.312500000E-3,3.158569336E-2
1.333333333E-3,2.877807617E-2
1.354166667E-3,2.499389648E-2
1.375000000E-3,2.185058594E-2
1.395833333E-3,2.093505859E-2
1.416666667E-3,1.931762695E-2
1.437500000E-3,1.626586914E-2
1.458333333E-3,1.583862305E-2
1.479166667E-3,1.251220703E-2
1.500000000E-3,1.083374023E-2
1.520833333E-3,8.819580078E-3
1.541666667E-3,7.995605469E-3
1.562500000E-3,6.256103516E-3
1.583333333E-3,4.455566406E-3
1.604166667E-3,5.310058594E-3
1.625000000E-3,4.669189453E-3
1.645833333E-3,4.150390625E-3
1.666666667E-3,2.563476562E-3
1.687500000E-3,-3.051757812E-5
1.708333333E-3,-3.082275391E-3
1.729166667E-3,-4.516601562E-3
1.750000000E-3,-7.049560547E-3
1.770833333E-3,-8.422851562E-3
1.791666667E-3,-8.758544922E-3
1.812500000E-3,-1.031494141E-2
1.833333333E-3,-1.077270508E-2
1.854166667E-3,-1.342773438E-2
1.875000000E-3,-1.522827148E-2
1.895833333E-3,-1.867675781E-2
1.916666667E-3,-2.029418945E-2
1.937500000E-3,-2.435302734E-2
1.958333333E-3,-2.685546875E-2
1.979166667E-3,-2.902221680E-2
2.000000000E-3,-3.140258789E-2
2.020833333E-3,-3.234863281E-2
2.041666667E-3,-3.549194336E-2
2.062500000E-3,-3.558349609E-2
2.083333333E-3,-3.628540039E-2
2.104166667E-3,-3.430175781E-2
2.125000000E-3,-3.332519531E-2
2.145833333E-3,-3.201293945E-2
2.166666667E-3,-3.009033203E-2
2.187500000E-3,-2.996826172E-2
2.208333333E-3,-2.938842773E-2
2.229166667E-3,-3.045654297E-2
2.250000000E-3,-3.189086914E-2
2.270833333E-3,-3.460693359E-2
2.291666667E-3,-3.417968750E-2
2.312500000E-3,-3.442382812E-2
2.333333333E-3,-3.405761719E-2
2.354166667E-3,-3.256225586E-2
2.375000000E-3,-3.369140625E-2
2.395833333E-3,-3.424072266E-2
2.416666667E-3,-3.640747070E-2
2.437500000E-3,-3.741455078E-2
2.458333333E-3,-4.055786133E-2
2.479166667E-3,-4.071044922E-2
2.500000000E-3,-4.266357422E-2
2.520833333E-3,-4.153442383E-2
2.541666667E-3,-4.095458984E-2
2.562500000E-3,-3.961181641E-2
2.583333333E-3,-3.948974609E-2
2.604166667E-3,-3.808593750E-2
2.625000000E-3,-3.759765625E-2
2.645833333E-3,-3.860473633E-2
2.666666667E-3,-3.921508789E-2
2.687500000E-3,-3.982543945E-2
2.708333333E-3,-4.016113281E-2
2.729166667E-3,-3.952026367E-2
2.750000000E-3,-3.768920898E-2
2.770833333E-3,-3.582763672E-2
2.791666667E-3,-3.414916992E-2
2.812500000E-3,-3.326416016E-2
2.833333333E-3,-3.402709961E-2
2.854166667E-3,-3.344726562E-2
2.875000000E-3,-3.466796875E-2
2.895833333E-3,-3.479003906E-2
2.916666667E-3,-3.417968750E-2
2.937500000E-3,-3.399658203E-2
2.958333333E-3,-3.198242188E-2
2.979166667E-3,-3.189086914E-2
3.000000000E-3,-2.990722656E-2
3.020833333E-3,-2.825927734E-2
3.041666667E-3,-2.725219727E-2
3.062500000E-3,-2.612304688E-2
3.083333333E-3,-2.456665039E-2
3.104166667E-3,-2.542114258E-2
3.125000000E-3,-2.450561523E-2
3.145833333E-3,-2.423095703E-2
3.166666667E-3,-2.343750000E-2
3.187500000E-3,-2.197265625E-2
3.208333333E-3,-2.221679688E-2
3.229166667E-3,-2.267456055E-2
3.250000000E-3,-2.185058594E-2
3.270833333E-3,-2.142333984E-2
3.291666667E-3,-2.005004883E-2
3.312500000E-3,-1.751708984E-2
3.333333333E-3,-1.434326172E-2
3.354166667E-3,-1.058959961E-2
3.375000000E-3,-7.385253906E-3
3.395833333E-3,-3.814697266E-3
3.416666667E-3,-1.861572266E-3
3.437500000E-3,2.746582031E-4
3.458333333E-3,2.563476562E-3
3.479166667E-3,2.502441406E-3
3.500000000E-3,4.058837891E-3
3.520833333E-3,5.554199219E-3
3.541666667E-3,5.096435547E-3
3.562500000E-3,7.446289062E-3
3.583333333E-3,8.087158203E-3
3.604166667E-3,9.277343750E-3
3.625000000E-3,1.028442383E-2
3.645833333E-3,1.187133789E-2
3.666666667E-3,1.324462891E-2
3.687500000E-3,1.586914062E-2
3.708333333E-3,1.745605469E-2
3.729166667E-3,1.928710938E-2
3.750000000E-3,2.239990234E-2
3.770833333E-3,2.264404297E-2
3.791666667E-3,2.703857422E-2
3.812500000E-3,2.801513672E-2
3.833333333E-3,3.070068359E-2
