# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.351553100E-2,1.028460026E1,1.004059982E1,-3.090259933E1,3.408162691E1
6.351553100E-2,1.013819981E1,1.021140003E1,-3.096360016E1,3.414381819E1
7.351553100E-2,1.016259956E1,1.021140003E1,-3.095139885E1,3.414000895E1
8.351553100E-2,1.022359943E1,1.027239990E1,-3.106119919E1,3.427597234E1
9.351553100E-2,1.023579979E1,1.029679966E1,-3.107339859E1,3.429798508E1
1.035155310E-1,1.021140003E1,1.033339977E1,-3.104899979E1,3.427961828E1
1.135155310E-1,1.019919968E1,1.032119942E1,-3.100020027E1,3.422810612E1
1.235155310E-1,1.017479992E1,1.027239990E1,-3.106119919E1,3.426144842E1
1.335155310E-1,1.011380005E1,1.027239990E1,-3.108559990E1,3.426551725E1
1.435155310E-1,1.012599945E1,1.026019955E1,-3.104899979E1,3.423226471E1
1.535155310E-1,1.012599945E1,1.018700027E1,-3.109779930E1,3.425469254E1
1.635155310E-1,1.010159969E1,1.010159969E1,-3.109779930E1,3.422218219E1
1.735155310E-1,1.006499958E1,1.006499958E1,-3.117099953E1,3.426718028E1
1.835155310E-1,1.010159969E1,9.979599953E0,-3.118319893E1,3.426407196E1
1.935155310E-1,1.011380005E1,9.967399597E0,-3.126859856E1,3.434185874E1
2.035155310E-1,1.011380005E1,9.942999840E0,-3.130519867E1,3.436811983E1
2.135155310E-1,1.013819981E1,9.845399857E0,-3.136619949E1,3.440281187E1
2.235155310E-1,1.015040016E1,9.833199501E0,-3.148819923E1,3.451418733E1
2.335155310E-1,1.010159969E1,9.894199371E0,-3.152479935E1,3.455069422E1
2.435155310E-1,1.006499958E1,9.942999840E0,-3.153699875E1,3.456515228E1
2.535155310E-1,1.005280018E1,9.857600212E0,-3.157359886E1,3.457055421E1
2.635155310E-1,9.991799355E0,9.869799614E0,-3.169559860E1,3.466785210E1
2.735155310E-1,9.955200195E0,9.857600212E0,-3.175659943E1,3.470965140E1
2.835155310E-1,9.857600212E0,9.845399857E0,-3.170779991E1,3.463363619E1
2.935155310E-1,9.821000099E0,9.955200195E0,-3.168339920E1,3.463229474E1
3.035155310E-1,9.772199631E0,9.942999840E0,-3.157359886E1,3.451450820E1
3.135155310E-1,9.747799873E0,9.942999840E0,-3.156139946E1,3.449644596E1
3.235155310E-1,9.686800003E0,9.979599953E0,-3.158580017E1,3.451216136E1
3.335155310E-1,9.650199890E0,1.013819981E1,-3.156139946E1,3.452580758E1
3.435155310E-1,9.576999664E0,1.021140003E1,-3.150039864E1,3.447124494E1
3.535155310E-1,9.503799438E0,1.028460026E1,-3.143939972E1,3.441701703E1
3.635155310E-1,9.540399551E0,1.043099976E1,-3.146379852E1,3.449341382E1
3.735155310E-1,9.491600037E0,1.050419998E1,-3.143939972E1,3.447991507E1
3.835155310E-1,9.467200279E0,1.066279984E1,-3.145159912E1,3.453297364E1
3.935155310E-1,9.442799568E0,1.082139969E1,-3.143939972E1,3.456450505E1
4.035155310E-1,9.491600037E0,1.095559978E1,-3.139060020E1,3.457579239E1
4.135155310E-1,9.418399811E0,1.101659966E1,-3.125639915E1,3.445336284E1
4.235155310E-1,9.442799568E0,1.113859940E1,-3.121979904E1,3.446608061E1
4.335155310E-1,9.467200279E0,1.127279949E1,-3.118319893E1,3.448326819E1
4.435155310E-1,9.467200279E0,1.141919994E1,-3.108559990E1,3.444329441E1
4.535155310E-1,9.491600037E0,1.154119968E1,-3.106119919E1,3.446865034E1
4.635155310E-1,9.479399681E0,1.163879967E1,-3.106119919E1,3.449809808E1
4.735155310E-1,9.503799438E0,1.176079941E1,-3.104899979E1,3.453518487E1
4.835155310E-1,9.491600037E0,1.191940022E1,-3.096360016E1,3.450952198E1
4.935155310E-1,9.576999664E0,1.212679958E1,-3.100020027E1,3.463799370E1
5.035155310E-1,9.601399422E0,1.229759979E1,-3.093919945E1,3.465042415E1
5.135155310E-1,9.613599777E0,1.249279976E1,-3.089039993E1,3.468008297E1
5.235155310E-1,9.601399422E0,1.266359997E1,-3.086599922E1,3.471690572E1
5.335155310E-1,9.650199890E0,1.287099934E1,-3.074399948E1,3.469845077E1
5.435155310E-1,9.674599648E0,1.306619930E1,-3.071959877E1,3.475654170E1
5.535155310E-1,9.808799744E0,1.322480011E1,-3.064639854E1,3.478950465E1
5.635155310E-1,9.906399727E0,1.333459949E1,-3.056099892E1,3.478394679E1
5.735155310E-1,1.002839947E1,1.348099995E1,-3.046339989E1,3.478972389E1
5.835155310E-1,1.016259956E1,1.360299969E1,-3.046339989E1,3.487604856E1
5.935155310E-1,1.027239990E1,1.371280003E1,-3.041459846E1,3.490860759E1
6.035155310E-1,1.039439964E1,1.373719978E1,-3.035359955E1,3.490122071E1
6.135155310E-1,1.045539951E1,1.376159954E1,-3.035359955E1,3.492904245E1
6.235155310E-1,1.054080009E1,1.373719978E1,-3.031699944E1,3.491331521E1
6.335155310E-1,1.047980022E1,1.372499943E1,-3.028039932E1,3.485834771E1
6.435155310E-1,1.041879940E1,1.371280003E1,-3.030480003E1,3.485646526E1
6.535155310E-1,1.034560013E1,1.370059967E1,-3.029259872E1,3.481923909E1
6.635155310E-1,1.017479992E1,1.363959980E1,-3.026819992E1,3.472361102E1
6.735155310E-1,1.002839947E1,1.360299969E1,-3.029259872E1,3.468792202E1
6.835155310E-1,9.906399727E0,1.361520004E1,-3.031699944E1,3.467896888E1
6.935155310E-1,9.698999405E0,1.362739944E1,-3.026819992E1,3.458237313E1
7.035155310E-1,9.515999794E0,1.367619991E1,-3.028039932E1,3.456147102E1
7.135155310E-1,9.357399940E0,1.372499943E1,-3.030480003E1,3.455889825E1
7.235155310E-1,9.235400200E0,1.382259941E1,-3.030480003E1,3.456497905E1
7.335155310E-1,9.076799393E0,1.389579964E1,-3.028039932E1,3.453091539E1
7.435155310E-1,9.027999878E0,1.405439949E1,-3.023159981E1,3.453955057E1
7.535155310E-1,8.991399765E0,1.415199947E1,-3.017059898E1,3.451650912E1
7.635155310E-1,8.954799652E0,1.426179981E1,-3.013399887E1,3.452021522E1
7.735155310E-1,9.003600121E0,1.438379955E1,-3.015839958E1,3.460473335E1
7.835155310E-1,9.064599991E0,1.449359989E1,-3.009739876E1,3.461336191E1
7.935155310E-1,9.162199974E0,1.460339928E1,-3.001199913E1,3.461105706E1
8.035155310E-1,9.271999359E0,1.471319962E1,-2.993879890E1,3.462340097E1
8.135155310E-1,9.454999924E0,1.482299995E1,-2.991440010E1,3.469855450E1
8.235155310E-1,9.674599648E0,1.490839958E1,-2.982899857E1,3.472214584E1
8.335155310E-1,9.821000099E0,1.500599957E1,-2.967039871E1,3.466936148E1
