# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,4.913548719E0
4.687500000E1,2.065464721E1
7.031250000E1,3.382048615E0
9.375000000E1,4.155504656E0
1.171875000E2,2.618484988E0
1.406250000E2,4.877606588E0
1.640625000E2,8.239697154E0
1.875000000E2,2.833032103E0
2.109375000E2,3.467531263E0
2.343750000E2,2.620385862E0
2.578125000E2,1.805688802E0
2.812500000E2,6.292157162E0
3.046875000E2,2.897490710E0
3.281250000E2,3.131797383E0
3.515625000E2,1.741146361E0
3.750000000E2,1.224117034E0
3.984375000E2,5.190164588E0
4.218750000E2,5.935648497E0
4.453125000E2,1.345808819E1
4.687500000E2,8.543264547E0
4.921875000E2,1.287021878E0
5.156250000E2,6.366567862E0
5.390625000E2,4.988000958E0
5.625000000E2,6.926148610E0
5.859375000E2,1.559397710E0
6.093750000E2,2.707521490E-1
6.328125000E2,4.920495826E0
6.562500000E2,2.636575605E0
6.796875000E2,4.179244623E0
7.031250000E2,8.414317644E0
7.265625000E2,9.454632247E0
7.500000000E2,1.523928127E1
7.734375000E2,4.549985235E0
7.968750000E2,2.522203855E0
8.203125000E2,2.437875528E0
8.437500000E2,2.037208461E0
8.671875000E2,2.060619839E0
8.906250000E2,1.753147794E0
9.140625000E2,1.186716065E0
9.375000000E2,4.736959969E-1
9.609375000E2,7.922597302E-1
9.843750000E2,9.329773719E-1
1.007812500E3,1.133258021E0
1.031250000E3,1.530399129E0
1.054687500E3,3.432909928E0
1.078125000E3,1.899195891E0
1.101562500E3,1.028405517E0
1.125000000E3,1.203910260E0
1.148437500E3,5.967200052E-1
1.171875000E3,2.179089668E0
1.195312500E3,1.544097995E0
1.218750000E3,1.323080707E0
1.242187500E3,5.005882204E-1
1.265625000E3,3.069077646E-1
1.289062500E3,4.123863952E-1
1.312500000E3,1.139222580E0
1.335937500E3,2.377674875E0
1.359375000E3,3.093915103E-1
1.382812500E3,9.808594256E-1
1.406250000E3,7.905629203E-1
1.429687500E3,7.189225818E-1
1.453125000E3,5.536714070E-1
1.476562500E3,8.221197192E-1
1.500000000E3,1.062846573E0
1.523437500E3,3.789932074E-1
1.546875000E3,4.072362468E-1
1.570312500E3,5.888747308E-1
1.593750000E3,3.605315956E-1
1.617187500E3,1.183812641E0
1.640625000E3,1.119205994E0
1.664062500E3,3.534932320E-1
1.687500000E3,1.048976505E-1
1.710937500E3,4.642721564E-1
1.734375000E3,3.832247898E-1
1.757812500E3,1.462083589E-1
1.781250000E3,5.201230097E-1
1.804687500E3,7.318983003E-1
1.828125000E3,2.971229589E-1
1.851562500E3,1.573099934E-1
1.875000000E3,1.858708540E-2
1.898437500E3,3.290405125E-1
1.921875000E3,5.276524490E-1
1.945312500E3,5.143730992E-1
1.968750000E3,6.892322777E-1
1.992187500E3,2.502283091E-1
2.015625000E3,3.002892649E-1
2.039062500E3,6.750239508E-1
2.062500000E3,3.782786168E-1
2.085937500E3,2.557670527E-1
2.109375000E3,6.009265541E-1
2.132812500E3,8.290964313E-1
2.156250000E3,6.920833769E-1
2.179687500E3,8.216141015E-1
2.203125000E3,4.530298741E-1
2.226562500E3,8.447861078E-1
2.250000000E3,5.607468611E-1
2.273437500E3,5.556417720E-1
2.296875000E3,7.488599994E-1
2.320312500E3,7.910762756E-1
2.343750000E3,6.840488771E-1
2.367187500E3,2.861293546E0
2.390625000E3,2.288944352E0
2.414062500E3,2.432784136E-1
2.437500000E3,1.009968756E0
2.460937500E3,7.170859201E-1
2.484375000E3,1.781975963E0
2.507812500E3,1.384283190E0
2.531250000E3,2.208918258E0
2.554687500E3,2.238102953E0
2.578125000E3,1.627389416E0
2.601562500E3,1.328745845E0
2.625000000E3,3.437824855E-1
2.648437500E3,1.070207963E0
2.671875000E3,1.558432937E0
2.695312500E3,2.227034437E0
