# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
0.000000000E0,2.343750000E1
5.150083300E-2,1.078125000E3
2.068165100E-1,6.562500000E2
2.592564060E-1,6.562500000E2
3.019230727E-1,6.328125000E2
3.445897393E-1,6.328125000E2
3.872564060E-1,3.281250000E2
4.299230727E-1,4.921875000E2
4.725897393E-1,4.687500000E1
5.152564060E-1,2.812500000E2
5.579230727E-1,2.812500000E2
6.005897393E-1,6.093750000E2
6.432564060E-1,4.687500000E1
6.859230727E-1,5.859375000E2
7.285897393E-1,6.093750000E2
7.712564060E-1,4.687500000E1
8.139230727E-1,6.093750000E2
8.565897393E-1,2.343750000E1
8.992564060E-1,4.687500000E1
9.419230727E-1,4.687500000E1
9.845897393E-1,4.687500000E1
1.027256406E0,2.343750000E1
1.069923073E0,4.687500000E1
1.112589739E0,2.343750000E1
1.155256406E0,4.687500000E1
1.197923073E0,4.687500000E1
1.240589739E0,4.687500000E1
1.283256406E0,4.687500000E1
1.325923073E0,2.343750000E1
1.368589739E0,2.343750000E1
1.411256406E0,7.734375000E2
1.453923073E0,4.687500000E1
1.496589739E0,6.328125000E2
1.539256406E0,6.562500000E2
1.581923073E0,2.343750000E1
1.624589739E0,2.343750000E1
1.667256406E0,2.343750000E1
1.709923073E0,2.343750000E1
1.752589739E0,2.343750000E1
1.795256406E0,6.796875000E2
1.837923073E0,2.343750000E1
1.880589739E0,2.812500000E2
1.923256406E0,4.687500000E1
1.965923073E0,7.265625000E2
2.008589739E0,7.500000000E2
2.051256406E0,2.343750000E1
2.093923073E0,4.687500000E1
2.136589739E0,5.625000000E2
2.179256406E0,2.343750000E1
2.221923073E0,5.625000000E2
2.264589739E0,8.203125000E2
2.307256406E0,8.203125000E2
2.349923073E0,7.734375000E2
2.392589739E0,4.687500000E1
2.435256406E0,4.687500000E1
2.477923073E0,4.687500000E1
2.520589739E0,4.687500000E1
2.563256406E0,2.343750000E1
2.605923073E0,4.687500000E1
2.648589739E0,2.343750000E1
2.691256406E0,4.687500000E1
2.733923073E0,6.796875000E2
2.776589739E0,2.343750000E1
2.819256406E0,2.343750000E1
2.861923073E0,4.687500000E1
2.904589739E0,4.687500000E1
2.947256406E0,2.343750000E1
2.989923073E0,4.687500000E1
3.032589739E0,4.687500000E1
3.075256406E0,2.343750000E1
3.117923073E0,4.687500000E1
3.160589739E0,2.343750000E1
3.203256406E0,4.687500000E1
3.245923073E0,7.500000000E2
3.288589739E0,4.687500000E1
3.331256406E0,4.687500000E1
3.373923073E0,4.687500000E1
3.416589739E0,4.687500000E1
3.459256406E0,7.031250000E2
3.501923073E0,4.687500000E1
3.544589739E0,4.687500000E1
3.587256406E0,4.687500000E1
3.629923073E0,4.687500000E1
3.672589739E0,4.687500000E1
3.715256406E0,5.390625000E2
3.757923073E0,5.390625000E2
3.800589739E0,5.390625000E2
3.843256406E0,5.390625000E2
3.885923073E0,4.687500000E1
3.928589739E0,4.687500000E1
3.971256406E0,2.343750000E1
4.013923073E0,2.343750000E1
4.056589739E0,4.687500000E1
4.099256406E0,3.515625000E2
4.141923073E0,3.515625000E2
4.184589739E0,3.984375000E2
4.227256406E0,6.328125000E2
4.269923073E0,3.000000000E3
4.312589739E0,3.046875000E3
4.355256406E0,3.046875000E3
4.397923073E0,3.023437500E3
4.440589739E0,2.343750000E1
4.483256406E0,4.453125000E2
4.525923073E0,2.343750000E1
4.568589739E0,4.687500000E1
4.611256406E0,7.031250000E1
4.653923073E0,7.031250000E1
4.696589739E0,4.687500000E1
4.739256406E0,4.687500000E1
4.781923073E0,3.750000000E2
4.824589739E0,2.578125000E2
4.867256406E0,3.750000000E2
4.909923073E0,6.796875000E2
4.952589739E0,5.859375000E2
4.995256406E0,2.343750000E2
5.037923073E0,4.687500000E1
5.080589739E0,4.687500000E1
5.123256406E0,4.687500000E1
5.165923073E0,4.687500000E1
5.208589739E0,4.687500000E1
5.251256406E0,4.687500000E1
5.293923073E0,5.625000000E2
5.336589739E0,5.625000000E2
5.379256406E0,3.750000000E2
5.421923073E0,5.625000000E2
5.464589739E0,4.687500000E1
5.507256406E0,4.687500000E1
5.549923073E0,4.687500000E1
5.592589739E0,4.687500000E1
5.635256406E0,4.687500000E1
5.677923073E0,4.687500000E1
5.720589739E0,2.343750000E1
5.763256406E0,4.687500000E1
5.806581352E0,4.687500000E1
5.849248019E0,4.687500000E1
5.891914685E0,4.687500000E1
5.934581352E0,4.687500000E1
5.977248019E0,3.281250000E2
6.019914685E0,4.687500000E1
6.062581352E0,5.390625000E2
6.105248019E0,4.687500000E1
6.147914685E0,2.578125000E2
6.190581352E0,2.578125000E2
6.233248019E0,4.687500000E1
6.275914685E0,4.687500000E1
6.318581352E0,6.562500000E2
6.361248019E0,4.687500000E1
6.403914685E0,4.687500000E1
6.446581352E0,7.031250000E1
6.489248019E0,4.687500000E1
6.531914685E0,8.203125000E2
6.574581352E0,7.734375000E2
6.617248019E0,7.500000000E2
6.659914685E0,7.734375000E2
6.702581352E0,7.265625000E2
6.745248019E0,9.375000000E2
6.787914685E0,4.687500000E2
6.830581352E0,4.218750000E2
6.873248019E0,2.578125000E2
6.919576664E0,2.812500000E2
6.962243331E0,1.406250000E2
7.004909997E0,2.109375000E2
7.047576664E0,3.046875000E2
7.090243331E0,2.835937500E3
7.132909997E0,2.859375000E3
7.175576664E0,6.562500000E2
7.218243331E0,4.289062500E3
7.260909997E0,4.312500000E3
7.303576664E0,4.289062500E3
7.346243331E0,8.203125000E2
7.388909997E0,3.281250000E2
7.431576664E0,3.046875000E2
7.474243331E0,2.812500000E2
7.516909997E0,2.812500000E2
7.559576664E0,4.687500000E1
7.602243331E0,3.046875000E2
7.644909997E0,4.687500000E1
7.687576664E0,4.687500000E1
7.730243331E0,4.687500000E1
7.772909997E0,6.562500000E2
7.815576664E0,6.093750000E2
7.858243331E0,7.031250000E2
7.909659007E0,7.265625000E2
7.952325674E0,5.156250000E2
7.994992340E0,5.156250000E2
8.037659007E0,3.046875000E2
8.080325674E0,2.812500000E2
8.122992340E0,2.812500000E2
8.165659007E0,1.640625000E2
8.208325674E0,1.640625000E2
8.250992340E0,4.687500000E2
8.293659007E0,4.687500000E1
8.336325674E0,4.687500000E1
8.378992340E0,4.687500000E1
8.421659007E0,4.687500000E1
8.464325674E0,4.687500000E1
8.506992340E0,1.406250000E2
8.549659007E0,4.687500000E1
8.592325674E0,7.031250000E2
8.634992340E0,4.687500000E1
8.677659007E0,4.687500000E1
8.720325674E0,2.343750000E1
8.762992340E0,2.578125000E2
8.805659007E0,4.921875000E2
8.848325674E0,5.859375000E2
8.890992340E0,2.343750000E1
8.933659007E0,4.687500000E1
8.976325674E0,2.343750000E1
9.018992340E0,2.343750000E1
9.061659007E0,4.453125000E2
9.104325674E0,2.343750000E1
9.146992340E0,4.687500000E1
9.189659007E0,2.343750000E2
9.232325674E0,2.109375000E2
9.274992340E0,4.921875000E2
9.317659007E0,6.562500000E2
9.360325674E0,4.687500000E1
9.402992340E0,4.687500000E2
9.445659007E0,4.687500000E1
9.488325674E0,4.453125000E2
9.530992340E0,4.687500000E1
9.573659007E0,4.687500000E1
9.616325674E0,4.687500000E1
9.658992340E0,4.687500000E1
9.701659007E0,4.687500000E1
9.744325674E0,6.562500000E2
9.786992340E0,6.562500000E2
9.829659007E0,5.390625000E2
9.872325674E0,6.562500000E2
9.914992340E0,4.218750000E2
9.957659007E0,6.562500000E2
1.000032567E1,6.796875000E2
1.004299234E1,6.796875000E2
1.008565901E1,4.687500000E1
1.012832567E1,4.687500000E1
1.017099234E1,4.687500000E1
1.021365901E1,2.343750000E2
1.025632567E1,4.687500000E1
1.029899234E1,4.687500000E1
1.034165901E1,4.687500000E1
1.038432567E1,4.687500000E1
1.042699234E1,4.687500000E1
1.046965901E1,4.687500000E1
1.051232567E1,4.687500000E1
1.055499234E1,4.687500000E1
1.059765901E1,4.687500000E1
