"Time (s)","Illuminance (lx)"
8.769808000E-3,1.457624969E2
2.087618390E-1,1.475000000E2
4.087833500E-1,1.576625061E2
6.087643390E-1,1.697750092E2
8.087753810E-1,1.707250061E2
1.008760277E0,1.758625031E2
1.208776266E0,1.546250000E2
1.408757412E0,1.323500061E2
1.608773245E0,9.408750153E1
1.808753141E0,9.308750153E1
2.008766110E0,1.234375000E2
2.208749339E0,1.479000092E2
2.408763454E0,1.501999969E2
2.608744600E0,1.510875092E2
2.808759495E0,1.467500000E2
3.008739131E0,1.305625000E2
3.208755693E0,1.145125046E2
3.408735954E0,1.059875031E2
3.608747256E0,9.512500000E1
3.808731631E0,7.818750000E1
4.008749391E0,7.698750305E1
4.208727777E0,7.259999847E1
4.408741423E0,7.284999847E1
4.608735798E0,7.648750305E1
4.808735589E0,9.976250458E1
5.008718350E0,1.057874985E2
5.208735225E0,1.073875046E2
5.408717360E0,1.003625031E2
5.608729808E0,9.836250305E1
5.808735589E0,1.097750015E2
6.008727933E0,1.226875000E2
6.208755745E0,1.288625031E2
6.408723506E0,1.408249969E2
6.608726318E0,1.515375061E2
6.808701527E0,1.629499969E2
7.008719756E0,1.175000000E2
7.208696943E0,1.600625000E2
7.408710954E0,1.469000092E2
7.608692204E0,1.363874969E2
7.808710016E0,1.175500031E2
8.008686318E0,1.109749985E2
8.208706318E0,1.067874985E2
8.408684339E0,1.068875046E2
8.608700173E0,1.081875000E2
8.808686423E0,1.067874985E2
9.008698089E0,1.052000046E2
9.208675485E0,1.047500000E2
9.408692725E0,1.071375046E2
9.608672516E0,1.066875000E2
9.808684495E0,1.077375031E2
1.000866762E1,1.098250046E2
1.020868304E1,1.108750000E2
1.040866325E1,1.112750015E2
1.060867798E1,1.101250000E2
1.080866148E1,1.079375000E2
1.100867684E1,1.051500015E2
1.120865476E1,1.048499985E2
1.140866746E1,1.020999985E2
1.160866267E1,1.024500046E2
1.180866903E1,1.055500031E2
1.200866252E1,1.064375000E2
1.220866319E1,1.267750015E2
1.240864470E1,1.525375061E2
1.260866075E1,1.080875015E2
1.280863976E1,3.328750229E1
1.300865778E1,1.565000057E1
1.320863720E1,7.675000191E0
1.340864668E1,4.987500191E0
1.360863371E1,5.337500095E0
1.380864653E1,5.825000286E0
1.400862778E1,5.825000286E0
1.420864658E1,5.724999905E0
1.440862486E1,5.437500000E0
1.460863809E1,5.087500095E0
1.480862069E1,4.787499905E0
1.500863533E1,4.937500000E0
1.520861564E1,4.837500095E0
1.540862741E1,4.637500286E0
1.560861205E1,4.187500000E0
1.580862746E1,3.487499952E0
1.600860679E1,3.387500048E0
1.620861772E1,3.537500143E0
1.640860314E1,3.687500000E0
1.660861830E1,3.237499952E0
1.680860054E1,3.237499952E0
1.700861262E1,3.387500048E0
1.720859760E1,3.137500048E0
1.740861046E1,3.137500048E0
1.760859130E1,3.437500000E0
1.780860458E1,3.937500000E0
1.800858786E1,3.587500095E0
1.820860260E1,3.287500143E0
1.840858333E1,3.437500000E0
1.860858218E1,3.387500048E0
1.880858525E1,3.287500143E0
1.900858869E1,2.287500143E0
1.920858708E1,3.387500048E0
1.940858947E1,4.087500095E0
1.960858150E1,8.074999809E0
1.980858583E1,6.724999905E0
2.000856578E1,1.450000048E0
2.020858041E1,8.500000238E-1
2.040858333E1,6.999999881E-1
2.060856020E1,7.925000191E0
2.080860666E1,1.181250000E1
2.100857385E1,1.241250038E1
2.120857468E1,8.175000191E0
2.140856932E1,1.600000024E0
2.160856650E1,5.775000095E0
2.180855999E1,1.186250019E1
2.200856525E1,1.296250057E1
2.220854312E1,1.350000000E1
2.240855859E1,1.016250038E1
2.260854088E1,1.708749962E1
2.280855249E1,2.506250000E1
2.300853562E1,2.875000000E1
2.320855046E1,2.706250000E1
2.340853786E1,2.362500000E1
2.360854666E1,1.733749962E1
2.380852760E1,1.469999981E1
2.400854703E1,1.683749962E1
2.420852421E1,1.555000019E1
2.440853864E1,1.963750076E1
2.460851807E1,2.347500038E1
2.480853390E1,2.441250038E1
2.500851411E1,2.591250038E1
2.520853317E1,2.571249962E1
2.540852025E1,2.656250000E1
2.560853286E1,2.661250114E1
2.580851291E1,2.332500076E1
2.600852025E1,1.540000057E1
2.620850942E1,1.480000019E1
2.640851994E1,3.737499952E0
2.660849890E1,4.387500286E0
2.680851958E1,4.387500286E0
2.700849520E1,5.337500095E0
2.720851025E1,9.862500191E0
2.740849713E1,1.106250000E1
2.760850635E1,1.136250019E1
2.780848880E1,1.081250000E1
2.800850479E1,9.125000000E0
2.820848463E1,9.025000572E0
2.840849525E1,8.675000191E0
2.860847900E1,7.224999905E0
2.880849354E1,5.487500191E0
2.900847583E1,1.196250057E1
2.920849760E1,2.202499962E1
2.940847130E1,1.968750000E1
2.960848671E1,1.888750076E1
2.980846802E1,1.673750114E1
3.000847958E1,1.853750038E1
3.020846359E1,2.082500076E1
3.040847708E1,2.042500114E1
3.060846020E1,1.660000038E1
3.080847114E1,1.196250057E1
3.100845703E1,1.196250057E1
3.120846869E1,1.236250019E1
3.140845062E1,1.051249981E1
3.160846489E1,9.612500191E0
3.180844671E1,9.225000381E0
3.200846057E1,8.425000191E0
3.220844192E1,8.375000000E0
3.240846062E1,8.574999809E0
3.260846239E1,8.525000572E0
3.280844374E1,9.562500000E0
3.300844244E1,9.275000572E0
3.320844890E1,9.412500381E0
3.340843588E1,1.026249981E1
3.360844322E1,1.096250057E1
3.380845619E1,9.612500191E0
3.400844244E1,1.171250057E1
3.420847270E1,1.490000057E1
3.440843588E1,9.912500381E0
3.460844145E1,4.787499905E0
3.480841426E1,5.237500191E0
3.500842999E1,6.375000000E0
3.520842947E1,9.025000572E0
3.540842760E1,1.146250057E1
3.560842552E1,1.305000019E1
3.580841781E1,1.350000000E1
3.600840406E1,1.315000057E1
3.620842036E1,1.385000038E1
3.640840098E1,1.291250038E1
3.660841390E1,8.775000572E0
3.680839427E1,3.183749962E1
3.700841062E1,4.773749924E1
3.720839192E1,5.227500153E1
3.740839083E1,5.242499924E1
3.760838755E1,5.566250229E1
3.780840140E1,5.990000153E1
3.800838442E1,5.596250153E1
3.820840104E1,5.641250229E1
3.840838025E1,5.770000076E1
3.860839338E1,5.187500000E1
3.880837864E1,4.853750229E1
3.900839124E1,4.051250076E1
3.920837380E1,2.835000038E1
3.940838666E1,2.636250114E1
3.960837484E1,2.781250000E1
3.980838499E1,3.085000038E1
4.000836515E1,3.218750000E1
4.020837984E1,3.213750076E1
4.040836098E1,3.293750000E1
4.060837713E1,3.348749924E1
4.080835661E1,3.378750229E1
4.100836916E1,3.308750153E1
4.120835166E1,3.228750229E1
4.140836802E1,3.323749924E1
4.160834791E1,3.797500229E1
4.180836432E1,6.298749924E1
4.200834312E1,6.886250305E1
4.220835484E1,5.945000076E1
4.240833942E1,5.362500000E1
4.260835494E1,6.617500305E1
4.280833676E1,7.678749847E1
4.300835015E1,7.405000305E1
4.320833057E1,7.484999847E1
4.340835697E1,7.608750153E1
4.360833010E1,7.584999847E1
4.380834156E1,7.628749847E1
4.400832229E1,7.843750000E1
4.420833572E1,8.002500153E1
4.440831968E1,8.012500000E1
4.460833228E1,7.658750153E1
4.480831416E1,7.395000458E1
4.500832650E1,7.380000305E1
4.520831505E1,7.658750153E1
4.540832499E1,7.863750458E1
4.560832010E1,8.122499847E1
4.580832270E1,9.717500305E1
4.600831124E1,9.438750458E1
4.620830052E1,9.677500153E1
4.640830739E1,1.101250000E2
4.660831489E1,1.064875031E2
4.680833072E1,1.023000031E2
4.700830593E1,1.052500000E2
4.720831218E1,1.032500000E2
4.740830468E1,9.143750000E1
4.760831088E1,8.416249847E1
4.780830150E1,8.187500000E1
4.800830078E1,8.082500458E1
4.820828031E1,8.147499847E1
4.840829270E1,8.297499847E1
4.860827432E1,8.202500153E1
4.880829697E1,8.012500000E1
4.900827156E1,7.525000000E1
4.920828588E1,7.495000458E1
4.940826864E1,8.092500305E1
4.960828249E1,9.812500000E1
4.980827119E1,1.204500046E2
5.000827770E1,1.160125046E2
5.020825958E1,1.094250031E2
5.040827239E1,1.159124985E2
5.060826598E1,1.496500092E2
5.080827202E1,1.693249969E2
5.100825203E1,1.652375031E2
5.120826812E1,1.499499969E2
5.140824864E1,1.296125031E2
5.160826046E1,1.283125000E2
5.180824317E1,1.107249985E2
5.200826041E1,1.119749985E2
5.220823859E1,1.373375092E2
5.240825729E1,1.282125092E2
5.260823478E1,1.272249985E2
5.280825218E1,1.352500000E2
5.300823203E1,1.517375031E2
5.320824916E1,1.544750061E2
5.340822890E1,1.479499969E2
