"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.507710000E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.007710000E-2,-3.809213638E-2,-1.178588867E-1,-2.945537567E-1
7.507710000E-2,-1.282030344E-1,-1.991639137E-1,-5.324201584E-1
8.007710000E-2,-1.877388358E-1,-2.440218925E-1,-5.321846008E-1
8.507710000E-2,-1.126364470E-1,-2.572345734E-1,-3.561906815E-1
9.007710000E-2,-1.575273275E-2,-1.916446686E-1,-1.372900009E-1
9.507710000E-2,-3.121078014E-2,-5.964994431E-2,1.529998779E-1
1.000771000E-1,-9.711146355E-3,8.492422104E-2,4.168949127E-1
1.050771000E-1,1.387227774E-1,1.710071564E-1,6.753797531E-1
1.100771000E-1,3.315775990E-1,1.887688637E-1,8.166713715E-1
1.150771000E-1,5.350636244E-1,1.685419083E-1,8.244647980E-1
1.200771000E-1,6.451963186E-1,1.441087723E-1,7.465248108E-1
1.250771000E-1,6.796200871E-1,1.172904968E-1,5.878591537E-1
1.300771000E-1,6.588025093E-1,1.114568710E-1,4.245290756E-1
1.350771000E-1,4.622556567E-1,1.279706955E-1,2.559080124E-1
1.400771000E-1,3.997358680E-1,8.791685104E-2,1.441574097E-1
1.450771000E-1,3.957397938E-1,3.002929688E-2,1.154041290E-1
1.500771000E-1,3.998246789E-1,1.902580261E-3,1.173381805E-1
1.550771000E-1,4.262301326E-1,-1.165294647E-2,7.982540131E-2
1.600771000E-1,3.589263856E-1,4.119825363E-2,-9.671497345E-2
1.650771000E-1,2.978487015E-1,7.791566849E-2,-2.409038544E-1
1.700771000E-1,2.858319283E-1,8.308696747E-2,-3.375663757E-1
1.750771000E-1,3.348774314E-1,7.450294495E-2,-3.902349472E-1
1.800771000E-1,4.421090186E-1,3.663778305E-2,-4.074354172E-1
1.850771000E-1,5.681157112E-1,-3.755569458E-3,-4.653825760E-1
1.900771000E-1,6.153100729E-1,-4.451465607E-2,-5.832839012E-1
1.950771000E-1,6.121300459E-1,-6.545877457E-2,-7.509746552E-1
2.000771000E-1,5.643708110E-1,-4.417276382E-2,-8.632955551E-1
2.050771000E-1,4.902682304E-1,9.747028351E-3,-9.499683380E-1
2.100771000E-1,3.741610050E-1,5.589723587E-2,-1.050687790E0
2.150771000E-1,2.439307570E-1,1.231360435E-1,-1.135932446E0
2.200771000E-1,1.348023415E-1,1.839847565E-1,-1.210379601E0
2.250771000E-1,8.692264557E-2,2.255206108E-1,-1.256208420E0
2.300771000E-1,4.607427120E-2,2.649855614E-1,-1.230174541E0
2.350771000E-1,-1.259195805E-2,3.273577690E-1,-1.121508598E0
2.400771000E-1,-6.653606892E-2,3.849630356E-1,-9.486608505E-1
2.450771000E-1,-1.403731108E-1,4.687104225E-1,-7.908077240E-1
2.500771000E-1,-3.983079195E-1,6.257929802E-1,-6.587285995E-1
2.550771000E-1,-7.263774872E-1,7.575626373E-1,-5.800900459E-1
2.600771000E-1,-7.755610943E-1,6.549172401E-1,-1.374430656E-1
2.650771000E-1,-4.270273447E-1,2.939920425E-1,8.161277771E-1
2.700771000E-1,-1.031965017E-1,6.322574615E-2,1.259317398E0
2.750771000E-1,-2.814640999E-1,1.930899620E-1,8.169641495E-1
2.800771000E-1,-2.753818035E-1,2.664904594E-1,8.222312927E-1
2.850771000E-1,3.734791279E-2,6.351280212E-2,1.072712898E0
2.900771000E-1,1.898303032E-1,-2.724504471E-2,1.051711082E0
2.950771000E-1,2.536302805E-1,-5.762195587E-2,8.310050964E-1
3.000771000E-1,1.927788258E-1,-3.554677963E-2,5.797338486E-1
3.050771000E-1,8.905780315E-2,-5.709934235E-2,4.171600342E-1
3.100771000E-1,-6.848108768E-2,-6.450414658E-2,3.099832535E-1
3.150771000E-1,-1.839421988E-1,-1.022138596E-1,2.678775787E-1
3.200771000E-1,-2.374385595E-1,-1.856389046E-1,3.152122498E-1
3.250771000E-1,-2.439643145E-1,-2.747993469E-1,3.319625854E-1
3.300771000E-1,-2.195408344E-1,-2.986121178E-1,2.878046036E-1
3.350771000E-1,-2.131872177E-1,-2.821502686E-1,6.311798096E-2
3.400771000E-1,-4.927945137E-2,-2.942333221E-1,-1.892471313E-2
3.450771000E-1,4.679822922E-2,-2.353973389E-1,-6.279087067E-2
3.500771000E-1,2.123479843E-1,-1.916813850E-1,-3.182125092E-2
3.550771000E-1,3.652269840E-1,-1.656284332E-1,2.334756851E-1
3.600771000E-1,3.968625069E-1,-1.261444092E-1,6.194200516E-1
3.650771000E-1,2.651422024E-1,1.800918579E-2,5.640363693E-1
3.700771000E-1,2.382365465E-1,1.488590240E-1,3.195161819E-1
3.750771000E-1,2.192233801E-1,2.151517868E-1,9.461498260E-2
3.800771000E-1,1.443871260E-1,2.238950729E-1,-9.627819061E-2
3.850771000E-1,2.588894367E-1,8.815383911E-2,-1.864767075E-1
3.900771000E-1,2.579315901E-1,3.163146973E-2,-4.161186218E-1
3.950771000E-1,1.826086044E-1,5.663871765E-3,-4.513692856E-1
4.000771000E-1,9.963142872E-2,-8.692741394E-3,-4.612464905E-1
4.050771000E-1,1.129349470E-1,-3.888511658E-2,-4.990487099E-1
4.100771000E-1,1.075232029E-2,1.289987564E-2,-5.445833206E-1
4.150771000E-1,-1.027534008E-1,6.139230728E-2,-4.926385880E-1
4.200771000E-1,-1.794155836E-1,8.141994476E-2,-5.038309097E-1
4.250771000E-1,-2.566275597E-1,6.917333603E-2,-4.520597458E-1
4.300771000E-1,-3.231165409E-1,4.916715622E-2,-3.355989456E-1
