"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.100771000E-1,7.623415493E-1,2.194411606E-1,-1.045828387E-1,-5.997861028E-1,8.065787835E1,2.755051199E1,5.956871927E0,-7.492742950E1
1.150771000E-1,7.630172001E-1,2.178774476E-1,-1.060967296E-1,-5.992308855E-1,8.053817106E1,2.751108757E1,5.693711256E0,-7.489329891E1
1.200771000E-1,7.580625031E-1,2.154196799E-1,-1.099250987E-1,-6.056831479E-1,8.141262224E1,2.750463210E1,5.410568528E0,-7.592378298E1
1.250771000E-1,7.586754125E-1,2.144301385E-1,-1.117585227E-1,-6.049308777E-1,8.130487215E1,2.754523322E1,5.155204259E0,-7.586988031E1
1.300771000E-1,7.550000259E-1,2.132583559E-1,-1.149582639E-1,-6.093278527E-1,8.194925593E1,2.763551418E1,4.950871960E0,-7.659260611E1
1.350771000E-1,7.553478216E-1,2.138338089E-1,-1.161321700E-1,-6.084719300E-1,8.188845812E1,2.777768990E1,4.863568355E0,-7.650321485E1
1.400771000E-1,7.539810848E-1,2.144638896E-1,-1.176044792E-1,-6.096613407E-1,8.212716264E1,2.793458138E1,4.827584147E0,-7.671590230E1
1.450771000E-1,7.541582099E-1,2.154638767E-1,-1.183412522E-1,-6.089466810E-1,8.209625945E1,2.808463022E1,4.813691889E0,-7.663380222E1
1.500771000E-1,7.540458578E-1,2.164738774E-1,-1.190579385E-1,-6.085878015E-1,8.211586274E1,2.823221479E1,4.814868325E0,-7.660224021E1
1.550771000E-1,7.541663304E-1,2.175975740E-1,-1.196615472E-1,-6.079190373E-1,8.209484242E1,2.838420376E1,4.822778111E0,-7.652292707E1
1.600771000E-1,7.541807536E-1,2.191522568E-1,-1.202071160E-1,-6.072346568E-1,8.209232553E1,2.857266746E1,4.866703799E0,-7.643914594E1
1.650771000E-1,7.543752741E-1,2.210672200E-1,-1.205554679E-1,-6.062290072E-1,8.205837499E1,2.878300336E1,4.941961752E0,-7.630308715E1
1.700771000E-1,7.547601628E-1,2.231375724E-1,-1.207263395E-1,-6.049560905E-1,8.199116452E1,2.899730220E1,5.033489378E0,-7.612340746E1
1.750771000E-1,7.550432233E-1,2.251605988E-1,-1.208881959E-1,-6.038199067E-1,8.194170665E1,2.920616178E1,5.126862913E0,-7.596317417E1
1.800771000E-1,7.550463269E-1,2.269448936E-1,-1.211583912E-1,-6.030934453E-1,8.194116425E1,2.939805669E1,5.208341057E0,-7.586507483E1
