"Time (s)","Illuminance (lx)"
0.000000000E0,1.329499969E2
8.539647600E-2,1.349499969E2
2.853931430E-1,1.682375031E2
4.854032990E-1,1.964375000E2
6.853881430E-1,1.421250000E2
8.854017890E-1,1.616999969E2
1.085385539E0,1.792500000E2
1.285385955E0,1.896125031E2
1.485379237E0,1.848750000E2
1.751149843E0,2.102499962E1
1.906275071E0,2.611250114E1
2.106271686E0,4.658750153E1
2.306266582E0,9.881250000E1
2.506280332E0,1.217874985E2
2.706263040E0,1.395749969E2
2.906276217E0,1.679875031E2
3.106259759E0,1.866250000E2
3.306273978E0,1.596625061E2
3.506254134E0,1.585124969E2
3.706273769E0,1.706750031E2
3.906252832E0,1.814375000E2
4.106257467E0,2.022624969E2
4.306245644E0,2.296750031E2
4.506265019E0,2.468125000E2
4.706249759E0,2.843374939E2
4.906257155E0,3.544500122E2
5.106241946E0,3.717000122E2
5.306251269E0,4.018500061E2
5.506236373E0,3.896875000E2
5.706246165E0,3.613374939E2
5.906231530E0,3.572500000E2
6.106230176E0,3.535625000E2
6.306228353E0,3.526625061E2
6.506243613E0,3.512625122E2
6.706223144E0,3.512124939E2
6.906237623E0,3.514125061E2
7.106220957E0,3.511125183E2
7.306232363E0,3.511625061E2
7.506213769E0,3.509624939E2
7.706228665E0,3.510125122E2
7.906214707E0,3.510625000E2
8.106208926E0,3.507625122E2
8.306219082E0,3.508625183E2
8.506220905E0,3.507625122E2
8.706221894E0,3.506125183E2
8.906216113E0,3.532625122E2
9.106198821E0,2.980500183E2
9.306214342E0,2.897749939E2
9.506210644E0,3.010874939E2
9.706191686E0,3.403999939E2
9.906204811E0,2.045625000E2
1.010619023E1,7.638750458E1
1.030620158E1,2.600750122E2
1.050618252E1,3.548000183E2
1.070619929E1,3.486750183E2
1.090618028E1,3.434375000E2
1.110617783E1,3.507625122E2
1.130617804E1,1.954875031E2
1.150619018E1,1.227874985E2
1.170617429E1,2.220000000E2
1.190618507E1,2.707875061E2
1.210616705E1,2.703875122E2
1.230618340E1,2.541875000E2
1.250616429E1,1.732624969E2
1.270617768E1,1.542750092E2
1.290616330E1,1.551250000E2
1.310615919E1,1.918000031E2
1.330615544E1,2.576375122E2
1.350617294E1,2.769125061E2
1.370615335E1,2.783625183E2
1.390616731E1,3.140375061E2
1.410614820E1,2.709375000E2
1.430616361E1,3.280500183E2
1.450614549E1,3.301875000E2
1.470616216E1,3.181250000E2
1.490614096E1,3.171750183E2
1.510614179E1,3.165874939E2
1.530613669E1,3.134875183E2
1.550615054E1,1.239375000E2
1.570613007E1,2.081999969E2
1.590614726E1,2.935625000E2
1.610612960E1,2.054625092E2
1.630613804E1,1.141250038E1
1.650612372E1,6.552500153E1
1.670613689E1,2.172125092E2
1.690615486E1,2.729750061E2
1.710611835E1,2.935625000E2
1.730613106E1,2.957500000E2
1.750612945E1,2.932625122E2
1.770611351E1,2.866375122E2
1.790612335E1,2.838875122E2
1.810610913E1,2.830500183E2
1.830610382E1,2.833000183E2
1.850611799E1,2.932625122E2
1.870610018E1,3.017875061E2
1.890610999E1,3.033750000E2
1.910609676E1,2.841875000E2
1.930611531E1,2.813500061E2
1.950609130E1,3.009375000E2
1.970610182E1,3.070625000E2
1.990609098E1,3.025249939E2
2.010608697E1,3.065125122E2
2.030608525E1,3.084624939E2
2.050610228E1,3.056750183E2
2.070607906E1,3.022375183E2
2.090609171E1,3.013875122E2
2.110607572E1,2.987375183E2
2.130608708E1,2.966499939E2
2.150607239E1,3.098000183E2
