"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.619986200E-2,0.000000000E0,0.000000000E0,0.000000000E0
6.119986200E-2,-1.110363007E-1,3.573417664E-3,-1.501803398E-1
6.619986200E-2,-1.752805710E-1,-2.524995804E-2,-2.111124992E-1
7.119986200E-2,-5.844879150E-2,-1.346764565E-1,-9.096670151E-2
7.619986200E-2,6.782674789E-2,-3.071279526E-1,5.707550049E-2
8.119986200E-2,-6.462097168E-3,-3.092355728E-1,4.245376587E-2
8.619986200E-2,-9.452676773E-2,-1.947436333E-1,4.128265381E-2
9.119986200E-2,-1.968953609E-1,-8.760595322E-2,1.344680786E-4
9.619986200E-2,-2.976634502E-1,-5.350303650E-2,-7.349395752E-2
1.011998620E-1,-3.674643040E-1,-5.115413666E-2,-1.871252060E-1
1.061998620E-1,-4.194138050E-1,-7.672739029E-2,-2.797145844E-1
1.111998620E-1,-4.150249958E-1,-1.313309669E-1,-3.662137985E-1
1.161998620E-1,-3.747642040E-1,-1.911005974E-1,-5.579700470E-1
1.211998620E-1,-3.738300800E-1,-2.227983475E-1,-6.823492050E-1
1.261998620E-1,-3.581848145E-1,-2.362556458E-1,-6.705756187E-1
1.311998620E-1,-3.470141888E-1,-2.310204506E-1,-5.105171204E-1
1.361998620E-1,-3.159029484E-1,-1.961822510E-1,-4.516611099E-1
1.411998620E-1,-2.421255112E-1,-1.729335785E-1,-3.499097824E-1
1.461998620E-1,-1.317191124E-1,-2.130122185E-1,-1.900978088E-1
1.511998620E-1,-7.136535645E-2,-2.552113533E-1,7.324361801E-2
1.561998620E-1,-4.812097549E-2,-2.899475098E-1,2.716784477E-1
1.611998620E-1,-6.945967674E-2,-2.377467155E-1,3.775658607E-1
1.661998620E-1,-1.223318577E-1,-2.034134865E-1,4.249153137E-1
1.711998620E-1,-1.842758656E-1,-1.564221382E-1,4.566102028E-1
1.761998620E-1,-2.338659763E-1,-1.042528152E-1,5.159077644E-1
1.811998620E-1,-2.978515625E-1,-8.796930313E-2,5.077643394E-1
1.861998620E-1,-3.764958382E-1,-1.409740448E-1,5.010485649E-1
1.911998620E-1,-4.522686005E-1,-5.006170273E-2,4.877691269E-1
1.961998620E-1,-4.931640625E-1,-2.174997330E-1,4.743590355E-1
2.011998620E-1,-4.961223602E-1,-3.182811737E-1,5.212616920E-1
2.061998620E-1,-5.347499847E-1,-3.487911224E-1,5.684061050E-1
2.111998620E-1,-6.590845585E-1,-3.220863342E-1,6.048698425E-1
2.161998620E-1,-8.306796551E-1,-2.577772141E-1,6.181073189E-1
2.211998620E-1,-1.008742929E0,-2.084236145E-1,6.067700386E-1
2.261998620E-1,-1.097497463E0,-2.138481140E-1,6.311120987E-1
2.311998620E-1,-1.105535507E0,-2.365307808E-1,7.106184959E-1
2.361998620E-1,-1.052469730E0,-3.163003922E-1,8.023805618E-1
2.411998620E-1,-9.805921316E-1,-4.072694778E-1,9.543876648E-1
2.461998620E-1,-8.438518047E-1,-4.916930199E-1,1.209127426E0
2.511998620E-1,-7.227642536E-1,-5.692248344E-1,1.523199081E0
2.561998620E-1,-7.294348478E-1,-6.268463135E-1,1.832169533E0
2.611998620E-1,-8.867402077E-1,-6.456508636E-1,2.176238060E0
2.661998620E-1,-1.103790283E0,-5.902800560E-1,2.404333115E0
2.711998620E-1,-1.185094595E0,-3.642606735E-1,2.443423271E0
2.761998620E-1,-1.591010809E0,-5.042648315E-1,2.357351303E0
2.811998620E-1,-2.236344576E0,-9.241957664E-1,2.219007492E0
2.861998620E-1,-1.669133544E0,-5.812788010E-1,2.276155472E0
2.911998620E-1,-1.254817963E0,-3.832254410E-1,1.793559074E0
2.961998620E-1,-1.168370247E0,-4.926295280E-1,1.299959183E0
3.011998620E-1,-9.913089275E-1,-5.051517487E-1,1.082186699E0
3.061998620E-1,-8.580340147E-1,-5.158963203E-1,8.670911789E-1
3.111998620E-1,-7.478848100E-1,-4.856557846E-1,5.909700394E-1
3.161998620E-1,-7.157245278E-1,-4.395785332E-1,3.246879578E-1
3.211998620E-1,-7.122151852E-1,-4.166073799E-1,8.288383484E-2
3.261998620E-1,-6.553896070E-1,-4.236321449E-1,-6.872463226E-2
3.311998620E-1,-5.782452226E-1,-4.217891693E-1,-1.509275436E-1
3.361998620E-1,-5.023804307E-1,-4.407033920E-1,-2.459945679E-1
3.411998620E-1,-4.859373569E-1,-3.910756111E-1,-2.895059586E-1
3.461998620E-1,-4.551351070E-1,-3.432025909E-1,-3.104667664E-1
3.511998620E-1,-4.453700185E-1,-2.835249901E-1,-3.259859085E-1
3.561998620E-1,-4.255320430E-1,-2.363028526E-1,-3.893909454E-1
3.611998620E-1,-4.349654317E-1,-1.968894005E-1,-4.522428513E-1
3.661998620E-1,-4.327257872E-1,-1.511058807E-1,-4.787263870E-1
3.711998620E-1,-4.007491469E-1,-8.272886276E-2,-4.447917938E-1
3.761998620E-1,-3.761557043E-1,-1.292419434E-2,-4.370136261E-1
3.811998620E-1,-3.848437369E-1,3.131866455E-2,-4.104175568E-1
3.861998620E-1,-3.205048144E-1,7.276058197E-2,-3.370885849E-1
3.911998620E-1,-2.156934142E-1,1.110672951E-1,-2.453498840E-1
3.961998620E-1,-1.316642165E-1,8.718776703E-2,-1.911067963E-1
4.011998620E-1,-2.681601048E-2,1.219239235E-1,-1.307420731E-1
4.061998620E-1,1.121059060E-1,1.318583488E-1,-9.486103058E-2
4.111998620E-1,2.559338212E-1,1.676011086E-1,-1.009159088E-1
4.161998620E-1,3.486508727E-1,2.164382935E-1,-9.049892426E-2
4.211998620E-1,4.110075235E-1,2.624192238E-1,-1.863288879E-2
4.261998620E-1,4.404795170E-1,2.813458443E-1,5.560588837E-2
4.311998620E-1,4.303075671E-1,2.979121208E-1,8.083820343E-2
4.361998620E-1,3.571212888E-1,3.022613525E-1,1.131639481E-1
4.411998620E-1,2.870239615E-1,2.883090973E-1,1.992254257E-1
4.461998620E-1,2.025671005E-1,2.744731903E-1,3.116092682E-1
4.511998620E-1,1.471654773E-1,1.913466454E-1,4.095306396E-1
