"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.025232290E-1,5.336059140E1,-6.272461900E0,NaN,NaN,NaN,2.596610107E2,0.000000000E0
1.820017187E0,5.336059140E1,-6.272461900E0,NaN,NaN,NaN,2.937019958E2,0.000000000E0
3.677469530E0,5.336065296E1,-6.271732320E0,-1.491068719E0,0.000000000E0,NaN,9.541547775E0,9.085580826E0
4.676135416E0,5.336064929E1,-6.271693770E0,3.182489458E0,0.000000000E0,NaN,8.101726532E0,7.621106625E0
5.675703228E0,5.336068558E1,-6.271639550E0,1.070368529E1,0.000000000E0,NaN,8.712629318E0,8.617549896E0
6.675704842E0,5.336067781E1,-6.271621350E0,1.905917547E1,0.000000000E0,NaN,7.830969810E0,8.085973740E0
7.676544998E0,5.336072732E1,-6.271560010E0,1.964091365E1,0.000000000E0,NaN,6.939436913E0,7.407267570E0
8.675716300E0,5.336073072E1,-6.271546110E0,2.245989233E1,0.000000000E0,NaN,6.294238567E0,6.855290890E0
9.675961820E0,5.336073312E1,-6.271540130E0,2.534148724E1,0.000000000E0,NaN,5.650403500E0,6.191823959E0
1.067634323E1,5.336072589E1,-6.271536150E0,2.589807590E1,0.000000000E0,NaN,5.468379498E0,5.891480446E0
1.167587203E1,5.336072249E1,-6.271536170E0,2.725385251E1,0.000000000E0,NaN,5.152924061E0,5.373558044E0
1.267629651E1,5.336071734E1,-6.271536260E0,2.835383211E1,0.000000000E0,NaN,4.798354149E0,4.998184681E0
1.367655880E1,5.336071256E1,-6.271535490E0,2.875111438E1,0.000000000E0,NaN,4.468800545E0,4.569131851E0
1.467580343E1,5.336071563E1,-6.271530750E0,2.881135762E1,0.000000000E0,NaN,4.335756779E0,4.417325020E0
1.567600807E1,5.336071272E1,-6.271534120E0,2.942958220E1,0.000000000E0,NaN,4.359919548E0,4.438597202E0
1.667589484E1,5.336071161E1,-6.271533570E0,2.949360942E1,0.000000000E0,NaN,4.396543026E0,4.529551983E0
1.767599525E1,5.336070392E1,-6.271535280E0,3.033040609E1,0.000000000E0,NaN,4.211390018E0,4.174650669E0
1.867604333E1,5.336069551E1,-6.271538870E0,3.101894735E1,0.000000000E0,NaN,4.350031853E0,4.299505234E0
1.967654734E1,5.336069054E1,-6.271545460E0,3.129458054E1,0.000000000E0,NaN,4.316848755E0,4.126274586E0
2.067572156E1,5.336069004E1,-6.271547410E0,3.127285079E1,0.000000000E0,NaN,4.208852768E0,4.005684853E0
2.167582906E1,5.336068939E1,-6.271544700E0,3.216854449E1,0.000000000E0,NaN,4.268372059E0,4.059087753E0
2.267587801E1,5.336068683E1,-6.271538000E0,3.278860829E1,0.000000000E0,NaN,4.384580612E0,4.189527512E0
2.367594900E1,5.336068717E1,-6.271541360E0,3.275686692E1,0.000000000E0,NaN,4.621662617E0,4.474083424E0
