"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
8.103934100E-2,-1.514019966E1,-3.652679825E1,-1.958099937E1
9.103934100E-2,-1.499380016E1,-3.677079773E1,-1.966639900E1
1.010393410E-1,-1.467659950E1,-3.710020065E1,-1.998359871E1
1.110393410E-1,-1.437160015E1,-3.711240005E1,-2.020319939E1
1.210393410E-1,-1.407880020E1,-3.723439789E1,-2.030080032E1
1.310393410E-1,-1.382259941E1,-3.716119766E1,-2.036179924E1
1.410393410E-1,-1.359079933E1,-3.706359863E1,-2.059359932E1
1.510393410E-1,-1.333459949E1,-3.694160080E1,-2.081320000E1
1.610393410E-1,-1.278559971E1,-3.691719818E1,-2.121579933E1
1.710393410E-1,-1.226099968E1,-3.685620117E1,-2.167939949E1
1.810393410E-1,-1.173639965E1,-3.675859833E1,-2.200880051E1
1.910393410E-1,-1.126060009E1,-3.668539810E1,-2.243579865E1
2.010393410E-1,-1.076039982E1,-3.658779907E1,-2.293599892E1
2.110393410E-1,-1.016259956E1,-3.642919922E1,-2.338739967E1
2.210393410E-1,-9.528200150E0,-3.636819839E1,-2.381439972E1
2.310393410E-1,-8.942600250E0,-3.631940079E1,-2.408279991E1
2.410393410E-1,-8.393599510E0,-3.625839996E1,-2.439999962E1
2.510393410E-1,-7.856800079E0,-3.620959854E1,-2.460739899E1
2.610393410E-1,-7.295599937E0,-3.608760071E1,-2.496119881E1
2.710393410E-1,-6.648999691E0,-3.602659988E1,-2.522959900E1
2.810393410E-1,-6.099999905E0,-3.590459824E1,-2.541259956E1
2.910393410E-1,-5.624199867E0,-3.592900085E1,-2.564439964E1
3.010393410E-1,-5.221600056E0,-3.595339966E1,-2.566880035E1
3.110393410E-1,-4.782400131E0,-3.603879929E1,-2.583959961E1
3.210393410E-1,-4.343199730E0,-3.607539749E1,-2.588839912E1
3.310393410E-1,-3.903999805E0,-3.607539749E1,-2.591279984E1
3.410393410E-1,-3.550199986E0,-3.619739914E1,-2.582740021E1
