# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,3.290437987E0
4.687500000E1,1.337998867E0
7.031250000E1,9.312725300E0
9.375000000E1,2.384123204E1
1.171875000E2,1.021813990E1
1.406250000E2,7.468406828E0
1.640625000E2,1.188206196E1
1.875000000E2,1.503266011E1
2.109375000E2,2.533382569E1
2.343750000E2,7.668086547E0
2.578125000E2,5.207616386E0
2.812500000E2,1.497350258E1
3.046875000E2,6.306977952E0
3.281250000E2,1.118781088E1
3.515625000E2,2.014530997E0
3.750000000E2,7.437150341E0
3.984375000E2,7.058386856E0
4.218750000E2,5.445483361E0
4.453125000E2,7.486304551E0
4.687500000E2,7.723275557E0
4.921875000E2,2.905057796E0
5.156250000E2,1.973973770E1
5.390625000E2,1.531002085E1
5.625000000E2,8.323516786E0
5.859375000E2,5.967453060E0
6.093750000E2,1.577877924E1
6.328125000E2,1.898517165E0
6.562500000E2,6.940444829E0
6.796875000E2,7.586565789E0
7.031250000E2,6.021378818E0
7.265625000E2,5.560499460E0
7.500000000E2,3.156427363E0
7.734375000E2,5.685293959E0
7.968750000E2,3.812660559E0
8.203125000E2,1.777648388E0
8.437500000E2,3.217650316E0
8.671875000E2,1.999316536E0
8.906250000E2,4.638086019E0
9.140625000E2,1.019675388E1
9.375000000E2,1.662381970E0
9.609375000E2,7.854076783E-1
9.843750000E2,3.655401851E-1
1.007812500E3,1.202324754E0
1.031250000E3,1.205348048E0
1.054687500E3,2.259186428E-1
1.078125000E3,1.205788975E0
1.101562500E3,1.346549435E-1
1.125000000E3,2.073025008E0
1.148437500E3,1.153208217E1
1.171875000E3,2.390003487E0
1.195312500E3,1.384274724E0
1.218750000E3,1.029760550E0
1.242187500E3,6.145616789E-1
1.265625000E3,9.228465084E-1
1.289062500E3,5.884875609E-1
1.312500000E3,7.824064089E-1
1.335937500E3,7.547742876E-1
1.359375000E3,1.008014293E0
1.382812500E3,1.475604679E0
1.406250000E3,2.188978983E0
1.429687500E3,1.441240541E0
1.453125000E3,7.863941629E-2
1.476562500E3,1.477010854E0
1.500000000E3,1.125336245E0
1.523437500E3,3.974745263E-1
1.546875000E3,1.235862958E0
1.570312500E3,1.438475629E0
1.593750000E3,1.235187145E0
