# CSV-File created with merge-csv.com
# -----------------------------------------------------------

"Time (s)","Peak-Frequency"
0.000000000E0,2.343750000E1
4.266666667E-2,2.343750000E1
1.407638540E-1,6.328125000E2
1.834305207E-1,5.859375000E2
2.260971873E-1,6.328125000E2
2.687638540E-1,3.515625000E2
3.114305207E-1,3.515625000E2
3.540971873E-1,9.609375000E2
3.967638540E-1,7.265625000E2
4.409287500E-1,2.812500000E2
4.840777080E-1,2.812500000E2
5.267443747E-1,1.640625000E2
5.694110413E-1,9.375000000E1
6.120777080E-1,4.687500000E1
6.547443747E-1,2.578125000E2
6.974110413E-1,3.281250000E2
7.400777080E-1,6.093750000E2
7.848046870E-1,1.429687500E3
8.274713537E-1,1.640625000E2
8.701380203E-1,1.992187500E3
9.128046870E-1,3.984375000E2
9.554713537E-1,4.687500000E1
9.981380203E-1,7.031250000E1
1.040804687E0,2.343750000E1
1.083471354E0,9.375000000E1
1.126138020E0,9.375000000E1
1.168804687E0,7.031250000E1
1.211471354E0,4.687500000E1
1.254138020E0,2.343750000E1
1.296804687E0,2.343750000E2
1.339471354E0,2.343750000E1
1.382138020E0,2.343750000E1
1.424804687E0,2.343750000E1
1.467471354E0,4.921875000E2
1.510138020E0,4.921875000E2
1.552804687E0,1.640625000E2
1.595471354E0,7.031250000E1
1.638138020E0,2.104687500E4
1.680804687E0,5.625000000E2
1.726301354E0,4.453125000E2
1.768968021E0,4.453125000E2
1.811634687E0,7.500000000E2
1.854301354E0,2.812500000E2
1.896968021E0,2.343750000E1
1.939634687E0,4.687500000E1
1.982301354E0,4.687500000E2
2.024968021E0,4.921875000E2
2.067634687E0,2.812500000E2
2.110301354E0,5.625000000E2
2.152968021E0,4.687500000E2
2.195634687E0,4.687500000E1
2.238301354E0,3.515625000E2
2.280968021E0,4.687500000E1
2.323634687E0,5.390625000E2
2.366301354E0,4.687500000E1
2.408968021E0,5.625000000E2
2.451634687E0,2.812500000E2
2.494301354E0,2.343750000E1
2.536968021E0,5.390625000E2
2.579634687E0,3.750000000E2
2.622301354E0,7.031250000E1
2.664968021E0,4.687500000E1
2.707634687E0,3.046875000E2
2.750301354E0,3.046875000E2
2.792968021E0,3.984375000E2
2.835634687E0,1.007812500E3
2.878301354E0,1.007812500E3
2.920968021E0,1.031250000E3
2.963634687E0,3.046875000E2
3.006301354E0,8.437500000E2
3.048968021E0,2.812500000E2
3.091634687E0,1.406250000E2
3.134301354E0,7.031250000E1
3.176968021E0,1.406250000E2
3.219634687E0,4.687500000E1
3.262301354E0,2.343750000E2
3.304968021E0,5.390625000E2
3.347835363E0,4.687500000E1
3.390502030E0,1.875000000E2
3.433168696E0,2.812500000E2
3.475835363E0,2.812500000E2
3.518502030E0,1.875000000E2
3.561168696E0,1.640625000E2
3.603835363E0,5.390625000E2
3.646502030E0,5.390625000E2
3.689168696E0,4.687500000E1
3.731835363E0,3.515625000E2
3.774502030E0,1.640625000E2
3.817168696E0,2.109375000E2
3.859835363E0,1.875000000E2
3.902502030E0,6.328125000E2
3.945168696E0,4.218750000E2
3.987835363E0,6.093750000E2
4.030502030E0,5.859375000E2
4.073168696E0,1.640625000E2
4.115835363E0,1.640625000E2
4.158502030E0,3.515625000E2
4.201168696E0,3.750000000E2
4.243835363E0,2.343750000E2
4.286696665E0,2.343750000E1
4.329363332E0,1.875000000E2
4.372029998E0,2.812500000E2
4.414696665E0,5.156250000E2
4.457363332E0,2.812500000E2
4.500029998E0,6.562500000E2
4.542696665E0,5.156250000E2
4.585363332E0,1.640625000E2
4.628029998E0,4.687500000E2
4.670696665E0,5.859375000E2
4.713363332E0,4.218750000E2
4.756029998E0,4.687500000E1
4.798696665E0,1.007812500E3
4.841363332E0,2.109375000E2
4.884029998E0,2.812500000E2
4.926696665E0,1.406250000E2
4.969363332E0,1.406250000E2
5.012029998E0,8.671875000E2
5.054696665E0,2.812500000E2
5.097363332E0,2.109375000E2
5.140029998E0,5.625000000E2
5.182696665E0,1.171875000E2
5.225363332E0,1.171875000E2
5.269504425E0,2.109375000E2
5.312171092E0,2.109375000E2
5.354837758E0,2.109375000E2
5.397504425E0,6.328125000E2
5.440171092E0,3.046875000E2
5.482837758E0,5.390625000E2
5.525504425E0,3.750000000E2
5.568171092E0,6.093750000E2
5.610837758E0,1.640625000E2
5.653504425E0,1.406250000E2
5.696171092E0,6.562500000E2
5.738837758E0,6.093750000E2
5.781504425E0,1.640625000E2
5.824171092E0,1.640625000E2
5.866837758E0,3.750000000E2
5.909504425E0,3.984375000E2
5.952171092E0,3.046875000E2
6.002746977E0,4.687500000E2
6.045413644E0,1.640625000E2
6.088080310E0,7.265625000E2
6.130746977E0,7.031250000E2
6.173413644E0,4.687500000E1
6.216080310E0,4.687500000E1
6.258746977E0,3.984375000E2
6.301413644E0,6.328125000E2
6.344080310E0,4.453125000E2
6.386746977E0,3.984375000E2
6.429413644E0,5.390625000E2
6.472080310E0,7.265625000E2
6.514746977E0,4.218750000E2
6.557413644E0,4.453125000E2
6.600080310E0,4.687500000E1
6.642746977E0,2.812500000E2
6.685413644E0,2.812500000E2
6.728080310E0,2.812500000E2
6.770746977E0,2.812500000E2
6.813413644E0,2.578125000E2
6.856080310E0,6.562500000E2
6.899481508E0,6.328125000E2
6.942148175E0,4.218750000E2
6.984814841E0,3.046875000E2
7.027481508E0,3.984375000E2
7.070148175E0,2.812500000E2
7.112814841E0,6.093750000E2
7.155481508E0,4.218750000E2
7.198148175E0,1.171875000E2
